utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ
1636576719589000,-25.9972,14.2137,141.094,-24.0776,-2.46454,144.971,-33.9028,-2.68872,149.807,-14.2523,-2.24036,140.136,-34.1745,-15.4797,131.397,-6.37641,-21.0277,135.981,-27.9383,-17.363599999999998,110.044,-7.79942,-42.351600000000005,136.166,-22.2947,-17.603,147.892,-26.8018,-32.8851,153.908,-14.222,-32.598,147.717,-26.8018,-63.927,153.908,-14.222,-63.6399,147.717,-26.8018,-93.775,153.908,-14.222,-93.4879,147.717
1636576719624000,-25.8726,14.0521,141.051,-23.9135,-2.59173,144.872,-33.7479,-2.8786,149.68599999999998,-14.0791,-2.30486,140.058,-34.1212,-15.421,131.566,-6.36928,-20.8486,136.029,-28.0133,-17.400299999999998,110.184,-7.84645,-42.1696,136.256,-22.0974,-17.7476,147.679,-26.5754,-33.0871,153.567,-13.9873,-32.7199,147.404,-26.5754,-64.12899999999999,153.567,-13.9873,-63.76180000000001,147.404,-26.5754,-93.977,153.567,-13.9873,-93.6098,147.404
1636576719662000,-25.896300000000004,14.0081,141.072,-23.9161,-2.57139,144.906,-33.7709,-2.8615500000000003,149.68,-14.0613,-2.28122,140.13299999999998,-34.3172,-15.563399999999998,131.394,-6.26584,-21.0074,136.12,-27.826,-17.4608,110.121,-7.86879,-42.3203,136.263,-22.1084,-17.7278,147.717,-26.610000000000003,-33.07,153.584,-13.991499999999998,-32.6985,147.472,-26.610000000000003,-64.1119,153.584,-13.991499999999998,-63.7404,147.472,-26.610000000000003,-93.9599,153.584,-13.991499999999998,-93.5884,147.472
1636576719696000,-25.9112,14.1273,140.973,-23.8994,-2.45759,144.856,-33.769099999999995,-2.73967,149.599,-14.0297,-2.17551,140.113,-34.2023,-15.484800000000002,131.285,-6.23198,-20.9769,136.107,-27.8885,-17.4759,109.966,-7.86644,-42.2882,136.219,-22.0825,-17.599899999999998,147.736,-26.5858,-32.9229,153.654,-13.9454,-32.5617,147.579,-26.5858,-63.9648,153.654,-13.9454,-63.60359999999999,147.579,-26.5858,-93.8128,153.654,-13.9454,-93.4516,147.579
1636576719722000,-25.9728,14.0498,140.927,-24.0155,-2.48027,144.886,-33.8664,-2.72564,149.67000000000002,-14.164599999999998,-2.23491,140.102,-34.0843,-15.4782,131.28,-6.3047,-20.8521,136.04500000000002,-27.8151,-17.4012,109.94,-7.81182,-42.1728,136.103,-22.2012,-17.607499999999998,147.846,-26.6958,-32.8918,153.87,-14.078,-32.5775,147.74200000000002,-26.6958,-63.9337,153.87,-14.078,-63.6194,147.74200000000002,-26.6958,-93.7817,153.87,-14.078,-93.4674,147.74200000000002
1636576719756000,-25.9882,13.9189,141.017,-24.0376,-2.62454,144.948,-33.9054,-2.86507,149.698,-14.1698,-2.384,140.199,-34.3308,-15.3549,131.502,-6.3135,-20.8421,136.02100000000002,-27.9219,-17.2992,110.206,-7.78412,-42.1654,135.96800000000002,-22.2564,-17.7609,147.882,-26.7959,-33.0513,153.85899999999998,-14.1545,-32.7431,147.774,-26.7959,-64.0932,153.85899999999998,-14.1545,-63.785,147.774,-26.7959,-93.9412,153.85899999999998,-14.1545,-93.633,147.774
1636576719789000,-25.9676,13.919900000000002,141.001,-24.0835,-2.59731,144.971,-33.941500000000005,-2.78766,149.743,-14.2256,-2.40696,140.198,-34.1027,-15.387899999999998,131.348,-6.30704,-20.965,135.986,-27.8138,-17.286,110.011,-7.7872,-42.2881,135.964,-22.3568,-17.734299999999998,147.934,-26.9475,-32.9933,153.95499999999998,-14.3126,-32.7493,147.83800000000002,-26.9475,-64.0352,153.95499999999998,-14.3126,-63.7912,147.83800000000002,-26.9475,-93.8832,153.95499999999998,-14.3126,-93.6392,147.83800000000002
1636576719822000,-25.881400000000003,14.1073,141.10399999999998,-24.021,-2.49424,145.053,-33.868700000000004,-2.65347,149.847,-14.1732,-2.33501,140.25799999999998,-33.9726,-15.3776,131.305,-6.31238,-20.9615,136.03199999999998,-27.7604,-17.288800000000002,109.946,-7.78664,-42.2852,135.999,-22.3554,-17.6468,147.971,-26.9996,-32.9013,153.96099999999998,-14.3799,-32.6973,147.817,-26.9996,-63.9432,153.96099999999998,-14.3799,-63.7392,147.817,-26.9996,-93.7912,153.96099999999998,-14.3799,-93.5872,147.817
1636576719856000,-26.068400000000004,14.2126,141.2,-24.1858,-2.42687,145.098,-33.985,-2.6147400000000003,149.989,-14.386500000000002,-2.239,140.207,-34.4585,-15.3389,131.773,-6.33268,-20.8763,135.982,-28.0525,-17.3778,110.484,-7.783580000000001,-42.2017,135.951,-22.4587,-17.580099999999998,147.976,-27.0067,-32.8536,153.986,-14.4567,-32.613,147.723,-27.0067,-63.895500000000006,153.986,-14.4567,-63.6549,147.723,-27.0067,-93.7435,153.986,-14.4567,-93.5029,147.723
1636576719892000,-26.0848,14.1317,141.45,-24.0103,-2.52624,144.96800000000002,-33.8254,-2.96063,149.805,-14.1952,-2.09185,140.13,-34.6291,-15.3114,131.957,-6.34597,-20.7341,135.988,-28.0352,-17.4436,110.736,-7.76289,-42.0616,135.91199999999998,-22.0826,-17.709600000000002,147.51600000000002,-26.4397,-33.1712,153.161,-13.8701,-32.6149,146.966,-26.4397,-64.2131,153.161,-13.8701,-63.6568,146.966,-26.4397,-94.0611,153.161,-13.8701,-93.5048,146.966
