utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ
1636576704323000,-25.9964,14.3547,141.074,-24.1145,-1.94074,145.673,-34.0133,-1.91624,150.361,-14.215799999999998,-1.96524,140.986,-34.0133,-22.2129,150.361,-6.13964,-21.0038,139.37,-34.013400000000004,-42.5095,150.361,-7.93333,-42.2379,137.717,-22.3798,-16.898500000000002,149.41500000000002,-27.1389,-31.8402,156.231,-14.151,-31.872300000000003,150.081
1636576704357000,-25.9566,14.2565,141.18599999999998,-24.0417,-2.11694,145.427,-33.9634,-2.27557,150.06,-14.1199,-1.95831,140.793,-33.9634,-22.5722,150.06,-6.10555,-21.0646,139.448,-33.9635,-42.8688,150.06,-8.13378,-42.2778,137.808,-22.3075,-17.1929,148.623,-27.3513,-32.377300000000005,154.986,-13.7954,-32.1605,148.655
1636576704390000,-25.9085,14.134800000000002,141.08599999999998,-23.969,-2.26858,145.44,-33.873200000000004,-2.4075,150.114,-14.0648,-2.1296600000000003,140.765,-33.873200000000004,-22.7041,150.114,-6.09184,-21.149,139.388,-33.873200000000004,-43.0008,150.114,-8.24716,-42.357600000000005,137.85,-22.166,-17.3032,148.81300000000002,-26.8465,-32.4287,155.246,-13.879499999999998,-32.2468,149.126
1636576704423000,-25.9238,14.2374,141.033,-23.9224,-2.16026,145.426,-33.831900000000005,-2.32042,150.09,-14.0128,-2.0001,140.762,-33.831900000000005,-22.6171,150.09,-6.1083,-21.3078,139.402,-33.832,-42.9137,150.09,-8.327,-42.5121,137.886,-22.0533,-17.1715,148.881,-26.6673,-32.2875,155.388,-13.7012,-32.0779,149.286
1636576704457000,-25.9361,14.2139,141.106,-23.8817,-2.08041,145.487,-33.7818,-2.2558700000000003,150.171,-13.9816,-1.90495,140.803,-33.7818,-22.5525,150.171,-6.11167,-21.2421,139.445,-33.7819,-42.8491,150.171,-8.32915,-42.4367,137.796,-21.947,-17.0684,149.014,-26.4877,-32.1711,155.605,-13.5371,-31.9416,149.478
1636576704490000,-25.879,14.175999999999998,140.794,-23.7858,-2.06877,145.397,-33.701100000000004,-2.21553,150.051,-13.8704,-1.92201,140.744,-33.701100000000004,-22.5122,150.051,-6.088559999999999,-21.2015,139.43599999999998,-33.7012,-42.808800000000005,150.051,-8.32635,-42.389,137.721,-21.8408,-17.0208,149.07,-26.3806,-32.0689,155.78699999999998,-13.4111,-31.8769,149.7
1636576704519000,-25.8707,14.252199999999998,140.892,-23.8195,-2.00802,145.494,-33.692,-2.13484,150.237,-13.947,-1.8812,140.751,-33.692,-22.4315,150.237,-6.100289999999999,-21.2446,139.411,-33.692,-42.7281,150.237,-8.34202,-42.4434,137.852,-21.8422,-16.946,149.20999999999998,-26.3212,-31.967,156.028,-13.408600000000002,-31.8011,149.824
1636576704555000,-26.0329,14.2066,140.994,-24.0133,-2.26108,145.106,-33.921499999999995,-2.52388,149.76600000000002,-14.105099999999998,-1.99829,140.446,-33.921499999999995,-22.820500000000003,149.76600000000002,-6.09701,-21.1718,139.404,-33.9216,-43.1171,149.76600000000002,-8.31996,-42.3702,137.808,-22.1809,-17.352899999999998,148.151,-27.0342,-32.6221,154.34,-13.6626,-32.267399999999995,148.051
1636576704588000,-25.9303,14.2029,140.894,-24.1457,-2.18913,145.302,-34.0421,-2.14628,149.987,-14.2494,-2.23199,140.618,-34.042,-22.4429,149.987,-6.0997900000000005,-21.1956,139.349,-34.0421,-42.7395,149.987,-8.320910000000001,-42.4021,137.862,-22.571,-17.2197,148.767,-27.0179,-32.2242,155.081,-14.974799999999998,-32.2763,149.38
1636576704627000,-26.0158,14.2246,140.996,-24.512,-2.25665,145.348,-34.3957,-2.05078,150.057,-14.6284,-2.46252,140.638,-34.3957,-22.3474,150.057,-6.15692,-21.2658,139.333,-34.3958,-42.644,150.057,-8.31333,-42.486,137.951,-23.2273,-17.3443,148.703,-28.0628,-32.304500000000004,154.975,-15.822399999999998,-32.5595,149.142
