utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ
26480,1636576649855000,-25.8645,14.7463,139.275,-24.108600000000003,-0.73555,146.06199999999998,-34.2279,-0.355475,150.238,-13.9892,-1.11562,141.885,-34.2279,-20.652099999999997,150.238,-7.4223,-24.1833,139.704,-34.227999999999994,-40.9487,150.238,-11.4103,-30.2077,119.58800000000001,-22.3477,-15.112799999999998,151.637,-27.32,-29.2372,159.99,-13.8537,-29.743000000000002,154.432,-19.0642,-18.4373,132.08599999999998,-13.8537,-60.78490000000001,154.432,-22.9263,-19.194399999999998,102.5,-13.8537,-90.63289999999999,154.432
26481,1636576649889000,-25.8362,14.764,139.083,-24.1326,-0.698648,146.011,-34.2321,-0.188002,150.22,-14.0331,-1.20929,141.803,-34.2321,-20.4846,150.22,-7.441459999999999,-24.106,139.708,-34.2322,-40.7813,150.22,-11.3925,-30.2023,119.606,-22.487000000000002,-15.0438,151.701,-27.426799999999997,-29.056099999999997,160.135,-14.256,-29.722,154.647,-18.9076,-17.9852,132.418,-14.256,-60.7639,154.647,-22.8785,-18.891399999999997,102.851,-14.256,-90.6119,154.647
26482,1636576649922000,-25.8082,14.779900000000001,138.995,-24.1316,-0.648221,145.953,-34.248200000000004,-0.139285,150.122,-14.0149,-1.15716,141.785,-34.248200000000004,-20.4359,150.122,-7.46601,-24.2362,139.66400000000002,-34.2483,-40.732600000000005,150.122,-11.359,-30.3425,119.554,-22.534,-15.021899999999999,151.58499999999998,-27.6575,-29.057499999999997,159.987,-14.2156,-29.7337,154.448,-18.8107,-18.124100000000002,132.318,-14.2156,-60.7756,154.448,-22.7739,-19.0614,102.75,-14.2156,-90.6236,154.448
26483,1636576649955000,-25.8151,14.7834,139.248,-24.1879,-0.744881,146.075,-34.2671,-0.20970499999999997,150.329,-14.108699999999999,-1.28006,141.82,-34.267,-20.5063,150.329,-7.48083,-24.2555,139.627,-34.2671,-40.803,150.329,-11.417,-30.2351,119.48800000000001,-22.6021,-15.145,151.643,-27.694499999999998,-29.1906,160.03,-14.338,-29.899700000000003,154.39100000000002,-18.8481,-18.3218,132.333,-14.338,-60.941700000000004,154.39100000000002,-22.8853,-19.1953,102.773,-14.338,-90.7896,154.39100000000002
26484,1636576649989000,-25.808999999999997,14.7095,139.222,-24.1648,-0.780528,146.03699999999998,-34.269099999999995,-0.255119,150.23399999999998,-14.0605,-1.30594,141.841,-34.269,-20.5518,150.23399999999998,-7.47702,-24.5825,139.538,-34.269099999999995,-40.8484,150.23399999999998,-11.4801,-30.333499999999997,119.346,-22.6009,-15.183000000000002,151.606,-27.76,-29.235899999999997,159.967,-14.3142,-29.9351,154.38299999999998,-19.1435,-18.3952,132.18699999999998,-14.3142,-60.977,154.38299999999998,-22.8251,-19.1139,102.579,-14.3142,-90.825,154.38299999999998
26485,1636576650022000,-25.839199999999998,14.6906,139.203,-24.169900000000002,-0.781412,146.024,-34.259,-0.26098,150.25799999999998,-14.080699999999998,-1.3018399999999999,141.79000000000002,-34.259,-20.5576,150.25799999999998,-7.49555,-24.6881,139.427,-34.259100000000004,-40.8542,150.25799999999998,-11.5281,-30.2962,119.201,-22.561799999999998,-15.1668,151.625,-27.695999999999998,-29.2044,160.054,-14.2113,-29.9,154.39600000000002,-18.7715,-18.151400000000002,132.458,-14.2113,-60.9419,154.39600000000002,-22.6184,-19.0042,102.874,-14.2113,-90.7899,154.39600000000002
26486,1636576650056000,-25.894299999999998,14.7721,139.352,-24.154400000000003,-0.765752,145.981,-34.2748,-0.414114,150.154,-14.0341,-1.1173899999999999,141.808,-34.2748,-20.7107,150.154,-7.309959999999999,-24.6448,139.714,-34.2748,-41.007400000000004,150.154,-11.4936,-30.147000000000002,119.489,-22.4347,-15.216999999999999,151.37,-27.6356,-29.427699999999998,159.612,-13.794300000000002,-29.9086,153.905,-18.6447,-18.3096,132.06199999999998,-13.794300000000002,-60.9505,153.905,-22.5984,-19.2458,102.49300000000001,-13.794300000000002,-90.7985,153.905
26487,1636576650089000,-25.848599999999998,14.793600000000001,139.22,-24.122700000000002,-0.769812,145.971,-34.2137,-0.33654799999999996,150.208,-14.0318,-1.20308,141.73399999999998,-34.2137,-20.6332,150.208,-7.36359,-24.6798,139.543,-34.2137,-40.9298,150.208,-11.450199999999999,-30.219,119.30799999999999,-22.4172,-15.1677,151.506,-27.3875,-29.2791,159.84300000000002,-14.036000000000001,-29.852300000000003,154.238,-18.6677,-17.9409,132.296,-14.036000000000001,-60.8942,154.238,-22.6375,-18.9136,102.72999999999999,-14.036000000000001,-90.7422,154.238
26488,1636576650122000,-25.858800000000002,14.735400000000002,139.411,-23.9923,-0.907019,145.93800000000002,-34.1617,-0.732805,149.99,-13.8228,-1.0812300000000001,141.885,-34.1617,-21.029400000000003,149.99,-7.28125,-24.6529,139.685,-34.1618,-41.326100000000004,149.99,-11.4238,-30.2274,119.47,-22.124100000000002,-15.3676,151.247,-27.304399999999998,-29.7074,159.366,-13.207400000000002,-29.9489,153.748,-19.1008,-18.9192,131.453,-13.207400000000002,-60.9908,153.748,-22.752699999999997,-19.482400000000002,101.84,-13.207400000000002,-90.8388,153.748
26489,1636576650155000,-25.9401,14.739099999999999,139.559,-24.0339,-0.942873,145.988,-34.216300000000004,-0.8222149999999999,150.017,-13.851499999999998,-1.06353,141.959,-34.216300000000004,-21.1189,150.017,-7.1571299999999995,-24.594,139.712,-34.216300000000004,-41.415499999999994,150.017,-11.3872,-30.2317,119.53399999999999,-22.153100000000002,-15.447399999999998,151.176,-27.0733,-29.8713,159.054,-13.4714,-30.032400000000003,153.672,-19.3127,-18.5579,131.224,-13.4714,-61.07430000000001,153.672,-22.7018,-19.2987,101.583,-13.4714,-90.92229999999999,153.672
